,date,id_cliente,tipo,price
0,2025-01-01,1988,Espanhol,100
1,2025-01-01,1995,Inglês,100
2,2025-01-01,312,Inglês,91
3,2025-01-01,2156,Espanhol,100
4,2025-01-01,1511,Espanhol,100
5,2025-01-01,2172,Inglês,100
6,2025-01-01,328,Inglês,100
7,2025-01-01,474,Espanhol,95
8,2025-01-01,2092,Inglês,77
9,2025-01-01,1158,Inglês,100
10,2025-01-01,910,Inglês,100
11,2025-01-01,190,Espanhol,100
12,2025-01-01,149,Espanhol,100
13,2025-01-01,1572,Espanhol,83
14,2025-01-01,1198,Espanhol,97
15,2025-01-01,51,Espanhol,100
16,2025-01-01,1470,Espanhol,100
17,2025-01-01,932,Inglês,100
18,2025-01-01,7,Inglês,100
19,2025-01-01,197,Inglês,100
20,2025-01-01,1374,Inglês,100
21,2025-01-01,1972,Espanhol,100
22,2025-01-01,1710,Inglês,77
23,2025-01-01,1411,Inglês,88
24,2025-01-01,2074,Inglês,100
25,2025-01-01,528,Inglês,100
26,2025-01-01,448,Espanhol,100
27,2025-01-01,2099,Inglês,100
28,2025-01-01,1839,Mandarim,100
29,2025-01-01,1136,Inglês,100
30,2025-01-01,1281,Espanhol,96
31,2025-01-01,1752,Espanhol,100
32,2025-01-01,1558,Espanhol,100
33,2025-01-01,219,Espanhol,100
34,2025-01-01,631,Inglês,97
35,2025-01-01,1215,Espanhol,100
36,2025-01-01,1645,Espanhol,100
37,2025-01-01,1735,Inglês,87
38,2025-01-01,625,Espanhol,91
39,2025-01-01,1107,Espanhol,100
40,2025-01-01,1013,Espanhol,88
41,2025-01-01,1487,Mandarim,100
42,2025-01-01,1439,Espanhol,100
43,2025-01-01,422,Espanhol,100
44,2025-01-01,1762,Inglês,100
45,2025-01-01,1726,Espanhol,100
46,2025-01-01,1884,Inglês,100
47,2025-01-01,1716,Inglês,100
48,2025-01-01,1502,Espanhol,87
49,2025-01-01,906,Espanhol,100
50,2025-01-01,1821,Espanhol,100
